Unnamed: 0,Question,A,B,C,D,Answer,Subject
17,"Starptautiskā tirdzniecība gandrīz vienmēr būs izdevīga abām valstīm, tad kāpēc valstis cenšas aizsargāt savus uzņēmumus no saskares ar pasaules tirgu?",Vadības iracionalitāte,"Brīvās tirdzniecības izmaksas ir koncentrētas, bet ieguvumi ir izkliedēti",Režīma veids,Starptautiskie konflikti kavē tirdzniecību,B,us_foreign_policy
87,"1. paziņojums | CIFAR-10 klasifikācijas veiktspēja konvolūcijas neironu tīkliem var pārsniegt 95%. 2. paziņojums | Neironu tīklu ansambļi neuzlabo klasifikācijas precizitāti, jo to apgūtie attēlojumi ir ļoti savstarpēji saistīti.","Patiess, patiess","Nepatiess, nepatiess","Jā,Nē","Nepatiess, patiess",C,machine_learning
260,Kāpēc pacientam var būt nepieciešama traheostomija?,Balss saišu atjaunošanai pēc paralīzes.,Lai atvieglotu norīšanu.,Kā palīglīdzeklis pacientu atšķiršanai no ventilatora.,Pirms kakla operācijas.,C,clinical_knowledge
36,"Beisbola fans iegādājās divas biļetes uz World Series beisbola spēli. Fans sazinājās ar savu labāko draugu un uzaicināja viņu doties uz spēli. Draugs, kurš bija fanātisks beisbola fans, ar nepacietību piekrita. Fans pastāstīja draugam, ka spēle sākās plkst. 7:00 un ka viņš viņu uzņems aptuveni plkst. 17:00, lai viņi varētu agri tur nokļūt, lai noskatītos vatelīna treniņu. Viņi brauca uz spēli kopā, kad ventilators paātrinājās, lai šķērsotu krustojumu, kamēr satiksmes signāls mainījās no dzintara līdz sarkanai. Sasniedzot krustojumu, ventilators brauca ar ātrumu 50 m. p. h., lai gan izliktais ātruma ierobežojums bija 25 m. p. h. Vienlaikus automašīna iebrauca krustojumā sarkanā krāsā un sadūrās ar ventilatora transportlīdzekli. Draudzene sadursmē guva iegurņa lūzumu. Šī jurisdikcija ir pieņēmusi šādus ""modificētus"" salīdzinošos nolaidības noteikumus:""Neuzmanīgs prasītājs ir tiesīgs saņemt piedziņu, ja prasītāja nolaidība nav vienāda vai lielāka par atbildētāja ; pretējā gadījumā atgūšana nav atļauta. ""Pieņemsim, ka draugs ceļ prasību pret automašīnas vadītāju, kurš iebrauca krustojumā pie sarkanās gaismas, lai atgūtu zaudējumus par viņa traumu. Žūrija atgrieza īpašu spriedumu ar šādiem secinājumiem: (1) ventilators bija 55 procentos nolaidīgs ātruma pārsniegšanā; (2) autovadītājs bija 45 procentos nolaidīgs, braucot pa sarkano gaismu; un (3) draugs cieta zaudējumus 100 000 ASV dolāru apmērā. Rezultātā tiesai jāievada spriedums draugam par summu",100 000 ASV dolāru. 00,55 000 ASV dolāru. 00,45 000 ASV dolāru. 00,"neko, jo ventilators bija nolaidīgāks par vadītāju.",A,professional_law
14,Labākā pilsētas teritorijas definīcija ir,centrālajā pilsētā un tās attīstītajās teritorijās.,centrālā pilsēta un tās apkārtējās priekšpilsētas.,centrālo pilsētu un tās iekšzemi.,centrālā pilsēta un tai piegulošie novadi.,B,high_school_geography
81,"Koncentrēšanās uz jautājumiem, paredzētā auditorija, kas sniedzas tālāk par akcionāriem, un ___________ brīvprātīgais raksturs to atšķir no _________.","Finanšu grāmatvedība, vides pārvaldības iniciatīvas","Finanšu grāmatvedība, Sociālā grāmatvedība.","Sociālā grāmatvedība, Finanšu grāmatvedība.","Gada pārskata publikācija, Sociālā grāmatvedība",C,business_ethics
7,"Cik daudz darba ir nepieciešams, lai uzlādētu 10 µF kondensatoru līdz potenciālu starpībai 100 V ?","0,005 J","0,01 J","0,05 J","0,1 J",C,high_school_physics
118,"Kurš no šiem variantiem aizpilda šo paziņojumu? ""Labais atrioventrikulārais vārstulis...""",ir pusmēness vārsts,papillārie muskuļi novērš tās rašanos.,ir atvērts sistoles laikā.,"novērš asiņu atgriešanos no plaušu stumbra, sirdij atslābstot.",B,anatomy
44,"Polimerāzes ķēdes reakcija jeb PCR ir metode, kas","tika izmantots, lai demonstrētu DNS kā ģenētisko materiālu","izmanto, lai noteiktu minerālvielu saturu augsnes paraugā","izmanto īsus DNS praimerus un termostabilu DNS polimerāzi, lai replicētu specifiskas DNS sekvences in vitro.",mēra ribosomu pārneses ātrumu tulkošanas laikā,C,medical_genetics
186,"Kurā no šiem diviem scenārijiem galvenais varonis (kurš izmanto mani/mani) dara kaut ko acīmredzami morāli nepareizu, saskaņā ar parastajiem morāles standartiem ASV no 2020. gada? 1. scenārijs | Man bija jānošauj pantera, jo tā kaitināja manu dēlu. 2. scenārijs | Es ielēju bļodu ar pārslām savam jaunajam dēlam.","Nepareizi, nepareizi","Nepareizi, nav nepareizi","Nav nepareizi, nepareizi","Nav nepareizi, nav nepareizi",B,moral_scenarios
14,"Augsta entropija nozīmē, ka starpsienas klasifikācijā ir",Tīrs,nav tīrs,noderīgs,bezjēdzīgs,B,machine_learning
120,"Šis jautājums attiecas uz šādu informāciju.
""Nākamā pusgadsimta izaicinājums ir tas, vai mums ir gudrība izmantot bagātību, lai bagātinātu un paaugstinātu mūsu nacionālo dzīvi, kā arī uzlabotu mūsu Amerikas civilizācijas kvalitāti... Lielā sabiedrība balstās uz pārpilnību un brīvību visiem. Tā pieprasa izbeigt nabadzību un rasu netaisnību, ko mēs esam pilnībā apņēmušies savā laikā. Bet tas ir tikai sākums. Lielā sabiedrība ir vieta, kur ikviens bērns var atrast zināšanas, lai bagātinātu savu prātu un palielināt viņa talantus. Tā ir vieta, kur atpūta ir vēlama iespēja veidot un pārdomāt, nevis baidīties no garlaicības un nemiera. Tā ir vieta, kur cilvēka pilsēta kalpo ne tikai ķermeņa vajadzībām un tirdzniecības prasībām, bet arī vēlmei pēc skaistuma un alkām pēc kopienas. Tā ir vieta, kur cilvēks var atjaunot kontaktu ar dabu. Tā ir vieta, kas godā radīšanu savā labā un par to, ko tā dod izpratnei par sacīkstēm. Tā ir vieta, kur vīrieši ir vairāk rūpējas par savu mērķu kvalitāti, nevis preču daudzumu. Bet visvairāk Lielā sabiedrība nav droša osta, atpūtas vieta, galīgais mērķis, pabeigts darbs. Tas ir izaicinājums, kas nepārtraukti atjaunojas, mudinot mūs uz likteni, kur mūsu dzīves jēga saskan ar mūsu darba brīnumainajiem produktiem.""
Lyndon Johnson, piezīmes Mičiganas Universitātē, Ann Arbor, 1964
Visi šie bija daļa no Džonsona Lielās sabiedrības programmas, IZŅEMOT",1964. gada Pilsonisko tiesību likums,Medicare un Medicaid,mājokļu un pilsētvides attīstības departamenta izveide,sabalansēta budžeta mandāts,D,high_school_us_history
16,"Nosakiet šāda nosacījuma priekšlikuma priekšteci: Universitāte paaugstina mācību maksu tikai un vienīgi tad, ja to apstiprina gan gubernators, gan pilnvaroto padome to iesaka.",Universitāte paaugstina mācību līmeni.,The governor approves of it.,Pilnvaroto padome to iesaka.,Nevienā no minētajām,D,formal_logic
75,"Šis jautājums attiecas uz šādu informāciju.
""Secinām, ka sabiedrības izglītošanas jomā doktrīnai""atsevišķi, bet vienlīdzīgi"" nav vietas. Atsevišķas izglītības iestādes pēc būtības ir nevienlīdzīgas. Tāpēc mēs uzskatām, ka prasītājiem un citiem, kas atrodas līdzīgā vietā, attiecībā uz kuriem ir celta prasība, sūdzētās segregācijas dēļ tiek liegta vienāda aizsardzība likumiem, ko garantē Četrpadsmitais grozījums.""
Brauns pret Izglītības padomi, 1954
Kurš no sekošana vislabāk atspoguļo iepriekš aprakstītā juridiskā lēmuma sekas?","Turpinoties balto pretestībai, palēninājās centieni novērst segregāciju, izraisot virkni sociālo konfliktu visā dienvidu daļā.",Augstākās tiesas lēmums Brown pret Izglītības padomi palielināja uzņemšanu koledžās un universitātēs.,"Sešdesmitajos gados arvien vairāk vidusskolu absolventu noraidīja uzskatu, ka koledžas izglītība ir vēlama.",Divdesmitajā gadsimtā darbam progresīvās tehniskajās un medicīnas nozarēs parasti ir nepieciešami pēcdiploma grādi.,A,high_school_us_history
143,"Šis jautājums attiecas uz šādu informāciju.
Izlasiet šo piedāvājumu, lai atbildētu uz jautājumiem.
Dažādos pielūgsmes veidus, kas dominēja romiešu pasaulē, cilvēki uzskatīja par vienlīdz patiesiem; filozofs - par vienlīdz nepatiesiem; un tiesnesis - par vienlīdz noderīgiem.
Edvards Gibons, Romas impērijas noriets un krišana, 1776–1788
Astoņpadsmitā gadsimta angļu vēsturnieka Edvarda Gibona reliģiskās pārliecības stāvokļa interpretācija senajā Romā varētu būt piedāvāts kā pierādījums",garīdznieka monopols uz akadēmisko stipendiju astoņpadsmitā gadsimta Lielbritānijā,"britu zinātnieku naids pret visu, kas bija romiešu naids astoņpadsmitajā gadsimtā",reliģiskā skepticisma izplatība Lielbritānijas izglītotajā elitē XVIII gadsimtā,astoņpadsmitā gadsimta zinātniekam pieejamo avotu trūkums senās romiešu civilizācijas izpētei,C,high_school_european_history
42,Kas no turpmāk minētā palielinātu gāzes difūzijas ātrumu starp plaušu alveolām un asinīm plaušu kapilārā?,Gāzes parciālā spiediena gradienta samazināšana,Gāzes šķīdības samazināšana ūdenī,Difūzijai pieejamā kopējā virsmas laukuma palielināšana,Asins plūsmas ātruma samazināšana caur plaušu kapilāru,C,college_biology
18,Kā tiek stimulētas antivielas ražojošās šūnas?,Mijiedarbība ar vīrusa īso peptīdu,Mijiedarbība ar T palīgšūnu.,Mijiedarbība ar plazmas šūnu,Mijiedarbība ar vīrusu inficētu šūnu,B,virology
330,"Nervu anoreksija ir dzīvībai bīstama slimība, kas var izraisīt pastāvīgas fizioloģiskas izmaiņas (piemēram, trauslus kaulus) un pat nāvi. Kuram no šiem cilvēkiem būtu vislielākā iespēja saslimt ar šo slimību?","Marija, 16 gadus veca kaukāziete, ir studente un talantīga mūziķe, bet viņai šķiet, ka viņas dzīve ir nekontrolējama.","Leticia, 15 gadus veca afroamerikāņu sieviete, kura ir A klases studente un izcila sportiste, kā arī aizrautīga lasītāja","Roza, 26 gadus veca spāņu izcelsmes sieviete, kas tikko ieguvusi jurista grādu, cīnās ar skolas parādiem un viņai ir grūtības atrast darbu","Virdžīnija, 14 gadus veca Kaukāza sieviete, kas ir C grupas studente, ir seksuāli izlaidīga un eksperimentē ar narkotikām.",A,high_school_psychology
80,Pets atlec no basketbola 25 reizes 30 sekundēs. Cik reižu šādā ātrumā Pats atlēks bumbu 150 sekundēs?,120,125,144,145,B,elementary_mathematics
166,Ķīnas civilizācijas pirmsākumi meklējami:,an-yang vieta netālu no Huang ho upes.,šefpavāriem un štatiem daudzos reģionos visā Ķīnā.,cjiņu dinastijas sākums.,"ārējām ietekmēm, kas nāk no Indas ielejas.",B,prehistory
212,Kurš no šiem ir vēl viens golfa laukuma nosaukums?,Veids,Saites,Soļi,Numurs,B,miscellaneous
