,Question,A,B,C,D,Answer,Subject
88,"Kuhusu madhara ga theleni, ni hicho kahi ya vithuirizazho ni karakara?",Alume mana wadimi m'bomu wa kuhenda kwa ukali kuriko mwanamuche kahi ya mazingira ga theleni.,Alume mana wadimi mthithe kuriko mwanamche kukala na mkazo kwenye hali ya theleni.,Alume na ana ache mana wadimi sawa sawa wa kuhenda kinyume na hali ya theleni.,Anaalume na anaache manadzigidzya kwa ukali kwa hali ya theleni na atu kwa kiwango cha karakara.,B,professional_psychology
142,"Mtsanganyiko wa asidi ya sulfuri, H2SO3, i kahi za mtsanganyiko wa madzi. Ni hiyo kahi ya vithuirizazho inawakilisha viwango zha iyoni tahu tofauti kahi za mtsanganyiko?",[SO32-] > [HSO3-] > [H2SO3],[H2SO3] > [HSO3-] > [SO32-],[H2SO3] > [HSO3-] = [SO32-],[SO32-] = [HSO3-] > [H2SO3],B,high_school_chemistry
210,Ni hiye kahi za aaa anademokrasia mashudhiwa ni Ronald Reagan kahiza utsagulo wa uraisi wa 1984?,Michael Dukakis,Walter Mondale,Gary Hart,Jimmy Carter,B,miscellaneous
416,Kipengele kithithe zaidhi cha lugha kibebacho maana ni,dhana,neno,fonimu,mofimu,D,high_school_psychology
19,Ni hiyo kahiza vithuirizazho inaeleza tototo namna ya data khwa kawaidha ikusanywazho khwenye pakiti khwa ajili ya kuhumhwa khwenye mtandao.,"Kila pakiti ina data ya kuhumhwa, hamhwenga na metadata iriyo na maelezo gahumirwago kueleza data.","Kila pakiti ina mbozero ririro vitswa kwa ngira ya siri, hamhwenga na metadata iriyo na ufunguo uhenzekanao ili kuvumbula iyo data.",Kila pakiti ina metadata ihumirwayo thu kuanzisha malunganyo ga mhwenga khwa mhwenga ili data idime kukizwa.,Kila pakiti ina faili nyinji za data zirizounganishwa hamhwenga na metadata ielezayo namna ya kubainisha kila faili ya data.,A,high_school_computer_science
752,"Ni khwa hali yani kahi za zizi mbiri ambazo mhusika m'bomu (ahumiraye mi/mimi/zhangu) anahenda mambo mai kimaadili, kulingana na viwango zha kawaidha zha maadili tsi ya Marekani kufikira 2020? 
Hali ya 1 | Naika simu yakhwangu ya mkononi kahiza kesi ya khwahkwe mbisha.
Hali ya 2: Azhazi angu makikala madzalala fofofo, ninakelesi mhalani khwao.","Kosa, Kosa","Kosa, Si kosa","Si kosa, Kosa","Si kosa, Si kosa",D,moral_scenarios
204,"Bidhaa nyinji za rejareja kukala zinahala chapa kimhwenga cha mhwavuri, kulingana na dzina ra shirika. Iii inamanyikana here.",Chapa cha famili,zhapa zha kampuni.,Uikaji chapa cha kibinafsi.,Chapa cha mtengezaji.,B,marketing
81,"Kuzingathira maswala, hadhira irokusudhiwa kuenea zaidhi khwa ana hisa na asili ya hiari ya ___________ kutofautisha na _________.","Uhasibu wa fedha, mipango ya kuimirira mazingira.","Uhasibu wa fedha, Uhasibu wa kijamii.","Uhasibu wa kijamii, Uhasibu wa kifedha.","Uchapishaji wa ripoti ya mhwaka, Uhasibu wa kijamii",C,business_ethics
99,"Wakathi wa kiza, tezi ya pineal kahiza wongo kukala inamboza homoni yani kahiza vithuirizazho ambazho ni muhimi khwa udhibiti wa utsinzizi.",Estrogen,Adrenaline,Testosterone,Melatonin,D,high_school_psychology
182,Rahamani imbozayo kilasi kimhwenga cha takwimu inaifwa ,rahamani ya madhumuni ga jumla.,rahamoni ya mada.,rahamani ya kumbukumbu.,rahamani ya akili.,B,high_school_geography
84,"Kulingana na Hobbes, amani ni sheria ya khwanza ya asili khwa sababu ya hali yani kahi za zithurizazo.",Bila amani kila mutu ana haki ya kila kitu - ikikala ni hamhwenga na maisha ga mutu mungine.,Amani inadimikika thu baada ya viha.,Sheria kaidima kupata amani.,Mkataba wa kijamii khaudima kungizwa kala khakhuna amani.,A,jurisprudence
196,"Je, ni pea hizo za dini zirizoho haha tsini zinadzihusisha na utamaduni wa muda mure wa kuocha nyufu zao?",Hindu na Buddhist,Hindu na Asilamu,Asilamu na Ayahudi,Akristo na Buddhist,A,high_school_geography
66,Ni pea zani za vitu zithuirizazho vinadima kuhumika kutengeza mtsanganyiko wa bafa.,NaCl na HCl,HC2H3O2 na KC2H3O2,NaBr na KBr,HIO3 na KClO3,B,high_school_chemistry
71,"Stan akonze ananwa bia chache na baadhi na asena. Je, ni hicho kahi ya vithuirizazho kindahunguka ikikala Stan andahumira bia 1 hakeye?",arousal,kuinya,Kizuizi,orgasm,C,human_sexuality
66,Sababu ya Alzheimers inaonekana kukala,Kinji mazingira,Aluminum,Kinji genetic,Apo-E 4,C,human_aging
337,"Je, ni ure wani ufaao khwa mryango wa konze?",2 km,2 cm,2 m,2 mm,C,elementary_mathematics
206,A Minoans maishi _______ kisiwa cha Krete.,Mediterranean,Misri,Mesopotamian,Indonesian,A,prehistory
191,Mwanasheria mkulu ni m'bomu wa chombo hicho kahiza vithuirizazho?,Kamati ya Seneti ya Mahakama,Idara ya Haki,Idara ya Jimbo,Kikosi cha Jaji Wakili Mkulu,B,high_school_government_and_politics
36,"Khwa ufafanuzi, sai uhamisho wa stima khwa ngira ya uso S ni sawa na",mthiririko wa sumaku kukirira S,kiwango cha mabadhiliko ga mthiririko wa sumaku kukirira S,wakathi muhimu wa mthiririko wa sumaku kukirira S,kiwango cha mabadhiliko ga mthiririko wa stima kukirira S,D,college_physics
558,Sehemu bomu ya kalsiamu kahiza mwiri wa binadamu inapatikana hiho?,Nyere,Damu,Misoza,Ngira ya usagaji,C,miscellaneous
50,"Je, ufafanuzi hio unafafanula tototo muungano wa viya zha habari?",Mkusanyiko wa viya zha habari kukala mashirika mabomu.,Ngira ambayo viya zhosi zha habari vinachapisha maoni sawa na ashindani ao.,Maoni na tamaduni nyinji tofauti zinambozwa kahiza viya zha habari zha kivikara.,Taarifa zimbozwazo khwa miundo tofauti kukirira chaneli tofauti tofauti za kidijitoli.,D,public_relations
173,"Swali riri rinauyira habari idzayo. 
Kila baada ya miezi miri, mkuluwe kukala anahuma kumbola Lima pesos 60,000 kurihira mita za Ahindhi. Dzulu ya safu za Huanacavelica kuna Ahidhi 3,000 au 4,000 mahendao kazi kahiza mgodi wa zebaki, makikala na piki na nyundo, makivunza madini gago, maskini ao atu mariobebeshwa mizigo tsini, manapanda dzulu ya ngazi zizo na kuzia, inahuzunisha sana hatha mutu kadima kudzinula. Vizho ndizho mahendazho kazi kahiza mgodi uuu, wenye taa nyinji na lonzo lubomu lwa kudunda na mkanganyiko mâ€™bomu. Wala uo si uovu mâ€™bomu; iyo inambolera na asimamizi aivi na masio na nidhamu. Kulingana na kibali cha mfalme wakhwe, amiliki a mgodi kuko Potosi mana haki ya mita ya Ahindhi 13,300. Ahindhi aaa amita manapata real 4 kila siku. Khanda na aaa kuna angine ambao si tsini ya wajibu, ambao manadziajiri enye khwa hiari: aaa kila mumhwenga ni kupata kumbola khwa 12 tha 16 halisi, na angine 24, kulingana na jinsi mahumirazho tototo tsagulo rao au sifa zao za kumanya jinsi ya kumboza madini.
Antonio Vasquez de Espinosa, ripoti ya kutsimba madini kuko Huanacavelica  na Potosi, 1620s.
Sababu ya hahu bomu ihendayo mhweyeji wa Yakut na Tungus manonghwe ni khwamba hangu marihoanza kudhibitiwa na Urusi, malazimika kuriha kodi ya yasak. Angine mariha khwa sables, angine khwa khuro athune, na angine pesa taslimu. Haho kare were kuna anyama anji enye nyoga, lakini saa iii khakuna sables na khuro anji kahiza tsi zizo, kumbolera mhwambao wa Bahari ya Arctic tha kusini mpaka muho mâ€™bomu wa Lena. Zaidhi ya vizho, karibu nusu ya enyeji khamadima kurinda khwa sababu khamana kaheri farasi, ambao anji ao magerwa dhamana ya akusanyaji yasak.
Heinrich vonFuch, â€œDzulu ya matibabu ga enyeji kazikazini-mashakiri mhwa Sineria,â€ 1744. 
Ni higo kahi za mambo gathuirizago, ambago khagadzanghwe kuhadzwa kahiza kifungu cha hiri, gangedima kukala na wadimi m'bomu wa kureha matatizo zaidhi khwa Asiberi asilia majaribuo kuthimiza wajibu wao wa kuriha kodi?â€",kufika kwa arinzi apinzani kumbola China na Japan,Athari za makongo ga janga garizhorefwa na akazi a Urusi,Kungezeka khwa dzoho ra jumla ra hali ya hewa kahiza kipindi kiki.,kuhunguza khwa mahitaji ga nyoga kahiza ya ashomi a Uropa na Asia,B,high_school_world_history
24,Kuna tofauti yani kahiza upatanisho na upatanishi?,"Upatanisho ni mhwendherero wa upatanishi na tofauti ni khwamba upatanisho unareha majibu ga lazima, wakathi upatanishi khauhenda vizho.","Upatanisho unahendwa hakeye na awakilishi a Katibu Mkulu wa Umhwenga wa Mataifa, wakathi upatanishi unadima pia kuhendwa na maafisa a serikali ya hahu.","Usuluhisho khwa kawaidha unahendwa ni mutu aretsagulwa khwa radhi ya ahusika, wakathi upatanisho unahusisha tume ambayo kukala inaedherera na utsaguzi usio na upendheleo wa mzozo uo na kupendekeza masharti genye suluhisho.","Upatanisho ni ngira ya kutatua migogoro inayothuirizirwa thu khwa mujibu wa mkataba, wakathi upatanishi unadima pia kukala wa dharura.",C,international_law
4,"Amiliki a vituo zha kudzitegemea zha petroli kahiza jumuiya ni kuonana khwa siri na kukubaliana kuika bei zao dzulu ili kurinda faidha zao. Ikikala mpango wao undagunduliwa na kushthakiwa khwa uhalifu, manadima kushthakiwa",kupatikana na hathia tsini ya Sheria ya Sherman Antitrust na kufungwa jela,kupatikana na hathia tsini ya Sheria ya Udhamini wa Magnuson-Moss na kukabiliwa na faini bomu,kupatikana na hathia tsini ya Sheria ya Adamson na kukabiliwa na kifungo na faini,kupatikana bila hathia khwa sababu akiya a reja reja manaruhusiwa kuika viwango zhao zha bei,A,marketing
99,Rufaa ya hofu inahusisha,kubishana khwa khitu kunahenzwa kuhendeka thu khwa sababu kundahendya ahendaye khitu kicho adzisikire tototo. ,kubishana na mutu kunahenza kuhenda khitu khwa sababu thu ya nia mbii khwenda kwa mutu mungine,"hatua za kubishana zinahenza kuhalwa ili kuepuka mambo mai garigongizwa munyu, gasigodimikika, au gasigo na umuhimu",kubainisha nafasi ya apinzani khwa namna ambayo inahenda ionekane kukala ya kipuuzi,C,logical_fallacies
47,"kahiza maoni bora ga sayansi, ngira ya majezo inasemekana kuhusisha:",Kujaribu mbinu mbisha za utafiti ili kuona ni hiyo ihendayo kazi tototo zaidhi,kuthenganisha na kupima athari za kigezo kimhwenga dzulu ya kingine,khwa kuhumira imani na maadili ga kibinafsi ili kuamua ni noni cha kudzifundisha,Utafsiri wa data kimawazo khwa kuchora dhana za kinadharia,B,sociology
182,Kihendo cha kufikisha mawasiliano ga ushawishi na hatua ya hadhira kahiza usafiri wa mawasiliaono gago ili kungiza kahiza uelewa urio unauyirwa  here:,Inahenzekana kumanywa.,Ubunifu.,Utangazaji.,Kutunga.,D,marketing
202,Kiki ni khitu ambacho wakathi fulani kahiza siku zidzazo kinadima kureha kuhurira na/au kuhunguza udimi wa mahendo ga shirika.,Nguvu.,Udhaifu.,Tisho.,Fursa.,C,marketing
62,Asilimia ya ahoho tsi ya Vietnam (umri wa miaka 8) maripoti adhabu ya kimhwiri na alimu kahiza wiki iriyokira mwaka wa 2009 yahusu noni?,10%,20%,40%,80%,B,global_facts
106,Tsagula tafsiri bora zaidhi kahiza mantiki ya kiima. Alexis analamuswa ni Ben. (a: Alexis; b: Ben; Gxy:x  analamusa y),Gab,~Gba,aGb,Gba,D,formal_logic
308,"Mwanasayansi wahumira garire kusafirisha kiasi kibomu cha vitu vimbolanazho na petroli vidimazho kuaka sana ambazho wavimala kwa ajili ya utafiti wa khwakhwe wa kisayansi. Bidhaa zimbolazo khwa petroli zaguzwa kahiza mitungi ya kawaidha ya gilasi muda mchache baada ya kuikhwa khwenye mitungi nyuma ya garire, mwanasayansi iye were anahirika gari khanda khanda ya barabara ya mudzi. Were anafikiria dzulu za swali komu ra kisayansi na bila kuzingathira kuhirika khwakhwe. kumbolera na hali iyo, washindwa ni kuriimirira gari riro na khwenda kanda ya barabara. Gari rapinduka. Madumu ga vilolo garokala nyuma ya gari gavunzwa na kemikali zirizokala ndaniye zamwagika kanda ya barabara. Muda muchache badaaye, daktari ariyeshuhudia ajali iyo wakudza malo kumboza msaadha wa kimatibabu, Arihofika hehi gari rapinduka, hatha vizho, daktari wahereza khwenye mafuha ga petroli ambayo were imhwagika khanda kanda ya barabara. Daktari waghwa na kuvunzika kifundo cha kiguli. Ikikala daktari anadai madai dhidi ya mwanasayansi kulingana na dhima kali, je daktari andashinda?","Eeeeh, kwa sababu mwanasayansi iye were akidzishuhulisha na shughuli hathari zisizo za kawaidha khwa kusafirisha bidhaa zidimazo kuaka sana za petroli khwenye garire.","Eeeeh, kwa sababu usafirishaji wa derivatives ya petroli iakayo kahiza mitungi ya kilolo lazima inahusisha kiwango cha dzulu cha hathari ya madhara mabomu.","Ha-an-ha, khwa sababu daktari wahala hathari iyo khwa kihendo cha hiari here Msamaria mhwema.","Ha-an-ha, kwa sababu khaitazamirwe bule khwamba jeraha ra daktari ringembola na aina ya madhara garigo kala hathari.",D,professional_law
673,"Ni khwa hali yani kahiza zizi mbiri ambazo mhusika mkulu (ahumiraye Mi/mimi/zhangu) ni kuhenda khitu kii kimaadili, kulingana na viwango zha kawaidha zha maadili tsi ya Marekani kufikira 2020? 
Hali ya 1| Nafikisha kadi ya mkopo niriyobeba khwenye pochi yangu ili nikale khwenye hoteli ya bei. 
Hali ya 2: Namfunga mchangu nyughwe na nikimhirika matsembezini.","Kosa, Kosa","Kosa, Si kosa","Si kosa, Kosa","Si kosa, Si kosa",C,moral_scenarios
650,Ni hiyo kahiza zithui`rizazo were ni sababu bomu ya kufaulu khwa utsaguzi wa muungano wa Mpango musha wa Franklin Roosevelt kahiza miaka ya 1930?,Mabadhiliko mabomu ga apiga kura Aamerika kumbola Replublican khwenda Chama cha kidemokrasia,Mabadhiliko mabomu ga apiga kura khwa mudzi kahiza majimbo ga Kazkazini kumbola Chama cha Republican mpaka Chama cha Kidemokrasia,Kuzingathira mtazamo wa pande mbiri khwa sheria bomu za kijamii na kiutsumi,kuzingathira kuhamasisha apiga kura vijana,A,miscellaneous
115,"""Ni hizo kahiza tharathibu udzizogerwa za PL ni ishara bora ya sentensi idzayo?
Kahiza ulagizaji wa nyama ya ng'ombe kumbola Uingereza ni sharti thosha khwa Ufaransa kumboza ruzuku khwa kirimo au China kukuza haki za binadamu ni sharti muhimu khwa Afrika Kusini kusambaza almasi""",(E âŠƒ F) âˆ¨ (S âŠƒ C),(F âŠƒ E) âˆ¨ (C âŠƒ S),(E âŠƒ F) âˆ¨ (C âŠƒ S),(F âŠƒ E) âˆ¨ (S âŠƒ C),A,formal_logic
27,"Je, ni noni kihakikishacho khwamba mutu mumhwenga khabeba mzigo wa kazi nzima iuyirwayo?",Utaalamu wa kazi,Ubunifu wa kazi,Ratiba ya kazi,Mabadhiliko ga kazi,A,management
162,Dhana ya utamaduni wa kisiasa inahusu,"khwa ngira ambayo bidhaa za kitamaduni, here viryahu riwaya au michoro, inanyesa itikadi za kisiasa za atunzi ao",Imani za kimsingi za mwelekeo kuelekeza siaza ambazo zinashirikiwa kwa upana na anachama cha utamaduni,Imani za mitazamo ya kisiasa ishirikiwayo ni atu kahiza ofisi za umma,upendeleo wa kiitikadi khwa viya zha habari,B,sociology
40,"Kinga kahiza mzunguko ni kuhunguza nguvu khwa kiwango cha 1 W. Ikikala voltage khwenye kupinga idzangezeka mara mbiri, indakala ni kiwango kisha cha unongaji wa nguvu?",0.25 W,0.5 W,1 W,4 W,D,college_physics
47,Maeneo ga wongo ambago ganonghwa ni kuuyirwa kulana na,vironda zha wongo,hemispheres,lobes za wongo,cortical adhesions,A,high_school_psychology
9,"Swali riri rinauyira habari idzayo. Khwa jeri, utsungu wa kihakeye wa malagi ga Cawnpore were ni uuu, khwamba kitendo kicho chahendwa ni jamii ya atu - na atu airu ambao mathubutu kumhwaga damu ya alume ao, na iryahu ya anaache ao, maskini masodzadima na ahoho ao. Haha khafukalire na viha zha utumishi thu, bali were huna viha zha kidini, viha zha rangi, na viha zha kidini, viha zha rangi, na viha zha kurihiza kisasi, zha tumaini, zha misukumo ya kitaifa ya kuyusa nira ya mjeni, na kuanzisha usha kamili. mamlaka ga machifu aa asili, na uthawala kamili wa dini za asili. Zhozhosi viryahu visababishazho zha uasi uo, ni wazi zha kuthosha khwamba mhwenga ya ngira ambazo vilongozi, here khwamba khwa asili ya kawaidha, maazimia kuthimiza mwisho wao were ni kuangamizwa khwa kila mhwana mulume, mhwana muche au mhoho angeghwerera mikono yao.
Mhwandhishi wa habari wa Uingereza William Howard Russell, Diary Yangu ya Multlny ya Hindhi, 1860 Vurugu, lazima zisitishwe, were ni sehemu bomu ya kukalaho na Waingereza tsi ya India. Mamlaka ithawalayo kukala khaina raha na vurugu rielekezwaro dhidiye. Haki ya unyanyasaji, khwa vizho, kila hatu ni fursa ambayo mamlaka inafuraha na inakahala kushiriki na aryahu mario tsiniye: mamlaka daima inasistiza vurugu here ukiritimba wakhwe wa kihakeye. Uthawala wa Uingereza tsi ya India, here uthawala wa kiimla, were udzaunda ukiritimba wa vurugu. Uasi wa 1857 wasambaratisha ukiritimba uo khwa kulinganisha afisa, ghasia za ajeni na vurugu za asili za akoloni. Miri ya Aingereza were idzapata  hadhi fulani tsi ya India ambazo zaamulirwa kimbere khwa kuzhalwa na khwa rangi ya ngozi zao. Iii were ndo hali ya uthawala wao, ukulu wao: mandathawala na athawalwa mapangwa kii idara here jamii za hali ya dzulu na duni, here zirizostaarabika na zisizostaarabika. Na ubora uu wadzidhihirisha khwa kuakahaza Ahindhi â€utuâ€; khwa kuahendera na kuangiza lutsunga here anyama. Rudrangshu Mukherjee, â€œMalagi ga Kanpur[Cawnpore] tsi ya India kahiza Uasi wa 1857,1990. Kulingana na kifungu cha hiri, Malagi ga Cawnporeâ€","Were ni halali kulingana na desturi za kijeshi za kutu kuko, hatha kala yakiuka kanuni za kijeshi za Magharibi.",Inadimikika kuonwa here jibu khwa nguvu za kimfumo ambao Aingereza mathawala India.,Inahenza kusifiwa kukala ni pigo ra kijasiri ra kizalendo dhidi ya ukandamizaji wa akoloni a Uingereza.,naonekana kukala ni zhalo ra njama iriyopanghwa tototo na iriyopanghwa khwa muda mure.,B,high_school_world_history
20,Replication ya Picornavirus here virusi zha strand chanya ya RNA ina orwa hasa hiyo kahi ya zino zithuirizazo.,Virons inabeba enzyme ya RNA transcriptase ndani ya seli,RNA ya virion inatafsiriwa kahiza polyprotein mhwenga bomu,RNA ya virion ihendayo kazi here mRNA,Virusi vinambola khwa apoptosis ya seli,C,virology
13,Upotofu wa sheria ya asili ni,kubishana khwa khitu fulani ni vii kwa sababu khakhigarimu sana,kubadilisha ngano za kibinafsi khwa sampuli bomu wakathi wa kuunga mkono ujanibishaji,makibishana khwamba kiryahu ambacho ni jeri kahiza asili lazima kikale jeri kuhusu anadamu,khitu karakara na the post hoc fallacy,C,logical_fallacies
75,Kufikira 2019 ni takriban asilimia nyingahi ya Ataliano manaamba ni muhimu sana kukala na viya zha habari huru kahiza tsi yehu bila udhibiti wa serikali/udhibiti wa jimbo?,41%,56%,71%,86%,B,global_facts
246,Uryadzi mthithe wa carbohydrate kahiza marya:,Khaiathiri uhenzi wa mazoezi kahiza matukio gahalago tsini ya dakika 10,inaathiri pH ya misuli ya kudzihuriza.,inadima kunonga uhendi wa mazoezi ga nguvu ya dzulu.,inasababisha kutegemea zaidhi glycogen ya misuli wakathi wa mazoezi.,C,clinical_knowledge
191,"Î²-oxidation ya molekuli ya asidi ya palmitic, CH3(CH2)14CO2H:",inamboza molekuli 8 za asetili-CoA na baadhi ya ATP na madzi.,inamboza molekuli 16 za asetili-CoA hakeye.,inamboza dioksidi kaboni na madzi thu.,khaijumulisha oksijeni.,A,clinical_knowledge
