,Question,A,B,C,D,Answer,Subject
88,"Attiecībā uz pūļa ietekmi, kurš no šiem ir patiess?",Vīrieši biežāk nekā sievietes rīkojas agresīvi pārpildītos apstākļos.,Vīrieši retāk nekā sievietes izjūt stresu pārpildītu apstākļu dēļ.,Vīriešiem un sievietēm ir vienāda iespēja negatīvi reaģēt uz pārpildītiem apstākļiem.,Vīrieši un sievietes agresīvi reaģē uz pārpildītiem apstākļiem aptuveni tādā pašā pakāpē,B,professional_psychology
142,Ūdens šķīdumā ir sērskābes H2SO3 šķīdums. Kurš no šiem attēlo trīs dažādu jonu koncentrāciju šķīdumā?,[SO32-] > [HSO3-] > [H2SO3],[H2SO3] > [HSO3-] > [SO32-],[H2SO3] > [HSO3-] = [SO32-],[SO32-] = [HSO3-] > [H2SO3],B,high_school_chemistry
210,Kurš no šiem demokrātiem zaudēja Ronaldam Reiganam 1984. gada prezidenta vēlēšanās?,Maikls Dukakis,Walter Mondale,Gerijs Hārts,Džimijs Kārters,B,miscellaneous
416,"Mazākā valodas vienība, kurai ir nozīme, ir",jēdziens,vārds,Fonēma,Morfēma,D,high_school_psychology
19,"Kurš no šiem vislabāk izskaidro, kā dati parasti tiek apkopoti paketēs pārsūtīšanai internetā?","Katrā paketē ir nosūtāmie dati kopā ar metadatiem, kas satur informāciju, ko izmanto datu maršrutēšanai.","Katra pakete satur pārsūtāmo datu šifrētu versiju kopā ar metadatiem, kas satur atslēgu, kas nepieciešama datu atšifrēšanai.","Katrā paketē ir tikai metadati, kas izmantoti tieša savienojuma izveidei, lai datus varētu pārsūtīt.","Katrā paketē ir vairāki datu faili, kas apvienoti kopā, kā arī metadati, kas apraksta, kā kategorizēt katru datu failu.",A,high_school_computer_science
752,"Kurā no šiem diviem scenārijiem galvenais varonis dara kaut ko acīmredzami morāli nepareizu, saskaņā ar parastajiem morāles standartiem ASV no 2020. gada? 1. scenārijs | Es ievietoju savu mobilo tālruni tā jaunajā korpusā. 2. scenārijs | Kamēr mani vecāki cieši gulēja, es nopļāvu viņu pagalmu.","Nepareizi, nepareizi","Nepareizi, nav nepareizi","Nav nepareizi, nepareizi","Nav nepareizi, nav nepareizi",D,moral_scenarios
204,"Daudzi mazumtirdzniecības zīmoli izmanto vienu jumta zīmolu, pamatojoties uz organizācijas nosaukumu. To sauc par:",Ģimenes zīmolu,Korporatīvo zīmolu,Individuālo zīmolu,Ražotāja zīmolu,B,marketing
81,"Koncentrēšanās uz jautājumiem, paredzētā auditorija, kas sniedzas tālāk par akcionāriem, un ___________ brīvprātīgais raksturs to atšķir no _________.","Finanšu grāmatvedība, vides pārvaldības iniciatīvas","Finanšu grāmatvedība, Sociālā grāmatvedība.","Sociālā grāmatvedība, Finanšu grāmatvedība.","Gada pārskata publikācija, Sociālā grāmatvedība",C,business_ethics
99,"Tumsas periodos čiekurveida dziedzeris smadzeņu vidū ražo kādu no šiem hormoniem, kas ir būtisks miega regulēšanai?",Estrogēns,Adrenalīns,Testosterons,Melatonīns,D,high_school_psychology
182,"Karte, kas attēlo vienu statistikas klasi, tiek saukta par", vispārējā lietojuma karti.,tematisko karti.,pārskata karti.,mentālo karti.,B,high_school_geography
84,"Pēc Hobsa domām, miers ir pirmais dabas likums, kuras no šīm situācijām dēļ?",Bez miera ikvienam ir tiesības uz visu - arī uz cita dzīvību.,Miers ir iespējams tikai pēc kara.,Likums nevar panākt mieru.,"Sociālo līgumu nevar noslēgt, ja nav miera.",A,jurisprudence
196,Kuram zemāk esošo reliģiju pārim ir sena tradīcija kremēt savus mirušos?,Hinduistu un budistu,Hinduistu un musulmaņu,Musulmaņu un ebreju,Kristietis un budists,A,high_school_geography
66,Kuru no šiem vielu pāriem var izmantot buferšķīduma pagatavošanai?,NaCl un HCl,HC2H3O2 un KC2H3O2,NaBr un KBr,HIO3 un KClO3,B,high_school_chemistry
71,"Stens kopā ar draugiem iedzer pāris alus. Kurš no šiem SAMAZINĀSIES, ja Stens patērēs tikai 1 alu?",uzbudinājums,Erekcija,kavēšana,orgasms,C,human_sexuality
66,"Šķiet, ka Alcheimera slimības cēlonis ir",Galvenokārt vides,Alumīnijs,Pārsvarā ģenētisks,Apo-E 4,C,human_aging
337,Kāds ir saprātīgs durvju ailes augstums?,2 km,2 cm,2 m,2 mm,C,elementary_mathematics
206,Mīnojieši apdzīvoja _________ Krētas salu.,Vidusjūras reģiona,Ēģiptiešu,Divupes,Indonēžiešu,A,prehistory
191,Ģenerālprokurors ir kuras no šīm struktūrām vadītājs?,Senāta Tieslietu komiteja,Tieslietu departaments,Valsts departaments,Militārā prokuratūra,B,high_school_government_and_politics
36,Pēc definīcijas elektriskā pārvietojuma strāva caur virsmu S ir proporcionāla,magnētiskajai plūsmai caur S,magnētiskās plūsmas izmaiņu ātrumam caur S,magnētiskās plūsmas laika integrālim caur S,elektriskās plūsmas izmaiņu ātrumam caur S,D,college_physics
558,Kur ir lielākā daļa kalcija cilvēka organismā?,Mati,Asinīs,Kaulos,Gremošanas orgānu sistēmā,C,miscellaneous
50,Kura definīcija vislabāk raksturo mediju konverģenci?,Plašsaziņas līdzekļu konglomerācija lielās korporācijās.,"Veids, kādā visi plašsaziņas līdzekļi publicē līdzīgu saturu saviem konkurentiem.",Mūsdienu plašsaziņas līdzekļos paustie daudzie atšķirīgie viedokļi un kultūras.,"Informācija tiek piegādāta dažādos formātos, izmantojot dažādus digitālos kanālus.",D,public_relations
173,"Šis jautājums attiecas uz šādu informāciju.
Reizi divos mēnešos Viņa Majestāte sūta no Limas 60 000 peso, lai samaksātu par indiešu mitām. Huanacavelica klāstā ir 3000 vai 4000 indiešu, kas strādā dzīvsudraba raktuvēs ar cērtēm un āmuriem, sadalot rūdu. Un, kad viņi ir piepildījuši savus mazos maisus, nabaga draugi, nokrāvušies, kāpj augšā pa šīm kāpnēm un takelāžu, tik tik satraukti, ka gandrīz nevar tikt augšā. Tas ir veids, kā viņi strādā šajā raktuvē, ar skaļu dauzīšanās troksni un lielu apjukumu. Tas nav arī lielākais ļaunums; tas ir saistīts ar zaglīgiem un nedisciplinētiem vadītājiem. Saskaņā ar Viņa Majestātes rīkojumu Potosi raktuvju īpašniekiem ir tiesības uz 13 300 indiešu mitām. Šie mita indiāņi katru dienu nopelna 4 reālus. Bez šiem ir arī citi, kuriem nav pienākuma, kuri ļauj sevi nolīgt brīvprātīgi: tie katrs saņem no 12 līdz 16 reāliem, un daži līdz 24, atkarībā no tā, cik labi viņi izturas pret savu cērtēm vai to lai zinātu, kā izvadīt rūdu.
Antonio Vasquez de Espinosa, ziņojums par kalnrūpniecību Huanacavelica un Potosí, 1620. gadi
Trešais galvenais iemesls, kāpēc vietējie jakutu un tungusu vietējie iedzīvotāji ir izpostīti, ir tas, ka no brīža, kad viņi pirmo reizi nonāca Krievijas kontrolē, viņi bija spiesti maksāt yasak nodevu. Daži ir samaksājuši ar sabuļiem, citi - ar rudajām lapsām, vēl citi - skaidrā naudā. Sākumā tur bija daudz pļāpīgu dzīvnieku, bet tagad šajās zemēs nav ne zaķu, ne daudz lapsu, no ziemeļu Ledus okeāna krasti līdz pat dienvidiem līdz lielajai Ļenas upei. Turklāt gandrīz puse vietējo iedzīvotāju nevar medīt, jo viņiem vairs nav zirgu, no kuriem daudzi ir aizdoti yasak kolekcionāriem.
Heinrihs fon Fīhs, ""Par attieksmi pret iedzimtajiem Ziemeļaustrumu Sibīrijā"", 1744
Kurš no turpmāk minētajiem faktoriem, kas nav minēts otrajā rindkopā, visticamāk būtu radījis papildu grūtības vietējiem sibīriešiem, mēģinot izpildīt savus nodevu maksāšanas pienākumus?",Konkurentu mednieku ierašanās no Ķīnas un Japānas,Krievijas kolonistu izraisīto epidēmisko slimību ietekme,Vispārējā klimata sasilšana šajā laika periodā,Samazinātais pieprasījums pēc kažokādām Eiropas un Āzijas elites vidū,B,high_school_world_history
24,Kāda ir atšķirība starp samierināšanu un starpniecību?,"Samierināšana ir mediācijas turpināšana ar atšķirību, ka samierināšana rada saistošu rezultātu, bet mediācija ne","Samierināšanu veic tikai ANO ģenerālsekretāra pārstāvji, bet starpniecību var veikt arī trešo valstu amatpersonas","Mediāciju parasti veic persona, kas iecelta ar pušu piekrišanu, savukārt samierināšana ietver komisiju, kas pāriet uz objektīvu strīda izskatīšanu un ierosina izlīguma noteikumus","Samierināšana ir strīdu izšķiršanas metode, kas tiek īstenota tikai saskaņā ar līgumu, bet mediācija var būt arī uz ad hoc pamata",C,international_law
4,"Neatkarīgo degvielas uzpildes staciju īpašnieki kopienā tiekas slepeni un vienojas saglabāt augstas cenas, lai aizsargātu savu rentabilitāti. Ja viņu plāns tiek atklāts un viņi tiek apsūdzēti noziegumā, viņi var tikt","atzīti par vainīgiem saskaņā ar Šērmana pretmonopola likumu, un viņiem draud cietumsods","atzīti par vainīgiem saskaņā ar Magnuson-Moss garantijas likumu, un viņiem draud lieli naudas sodi",atzīti par vainīgiem saskaņā ar Ādamsona likumu un viņam draud cietumsods un naudas sods,"atzīti par nevainīgiem, jo mazumtirgotājiem ir atļauts pašiem noteikt cenu līmeņus",A,marketing
99,Baiļu argumentācija ietver,"argumentēšanu, ka kaut kas jādara tikai tāpēc, ka tas liks to darītājam justies labi","argumentēšanu, ka kādam kaut kas jādara tikai ļaunprātības dēļ pret kādu citu","argumentēšanu, ka jāveic darbības, lai izvairītos no pārspīlētām, maz ticamām vai neatbilstošām negatīvām sekām","oponenta pozīcijas raksturošanu tādā veidā, lai tā šķistu muļķīga",C,logical_fallacies
47,Idealizētos zinātnes uzskatos eksperimentālā metode ietver:,"jaunu pētniecības metožu testēšanu, lai noskaidrotu, kura no tām ir vispiemērotākā",izolēšanu un viena mainīgā ietekmes uz otru novērtēšanu,"personīgo uzskatu un vērtību izmantošanu, lai izlemtu, ko studēt","subjektīvu datu interpretāciju, balstoties uz teorētiskajām paradigmām",B,sociology
182,"Pārliecinošas komunikācijas pasniegšana un auditorijas darbība, interpretējot šo komunikāciju, lai to asimilētu savā esošajā izpratnē, tiek dēvēta par:",Vajadzību identificēšanu.,Inovēšanu.,Reklāmu.,Rāmēšanu.,D,marketing
202,"Tas ir kaut kas tāds, kas kādā brīdī nākotnē var destabilizēt un/vai samazināt organizācijas potenciālo sniegumu.",Stiprā puse,Vājās puse,Drauds,Iespēja,C,marketing
62,"Procentuālā daļa bērnu Vjetnamā (8 gadi), kuri ziņoja par skolotāju fiziskiem sodiem pagājušajā nedēļā 2009. gadā, bija apmēram cik?",10%,20%,40%,80%,B,global_facts
106,Izvēlieties labāko tulkojumu predikātu loģikā. Aleksi sagaida Bens. (a: Aleksis; b: Bens; Gxy: x sveicina y),pcs,~Gba,aGb,Gba,D,formal_logic
308,"Zinātnieks izmantoja savu automašīnu, lai pārvadātu lielu daudzumu viegli uzliesmojošu naftas atvasinājumu, kas viņam bija nepieciešami zinātniskajiem pētījumiem. Naftas atvasinājumi tika pārdoti parastās stikla galonu krūzēs. Neilgi pēc krūzīšu ievietošanas automašīnas aizmugurē zinātnieks brauca pa pilsētas ielu. Viņš domāja par sarežģītu zinātnisku jautājumu un nepievērsa uzmanību viņa braukšanai. Rezultātā viņš zaudēja kontroli pār automašīnu un uzbrauca uz ietves. Automašīna apgāzās. T stikla krūzes automašīnas aizmugurē bija salauztas, un tajās esošās ķīmiskās vielas izplūda uz ietves. Pēc brīža ārsts, kurš bija nelaimes gadījuma aculiecinieks, pienāca klāt, lai sniegtu medicīnisko palīdzību. Tomēr, tuvojoties apgāztajai automašīnai, ārsts uzslīdēja uz naftas produktiem, kas bija izlijuši uz ietves. Ārsts nokrita un salauza potīti. Ja ārsts izvirzīs prasību pret zinātnieku, pamatojoties uz stingru atbildību, vai ārsts gūs virsroku?","Jā, jo zinātnieks bija iesaistīts neparasti bīstamā darbībā, pārvadājot savā automašīnā viegli uzliesmojošus naftas atvasinājumus.","Jā, jo uzliesmojošu naftas atvasinājumu transportēšana stikla krūzēs noteikti ir saistīta ar augstu nopietna kaitējuma risku.","Nē, jo ārsts uzņēmās risku, brīvprātīgi rīkojoties kā labs samarietis.","Nē, jo nebija paredzams, ka ārsta traumu radīs apdraudētā kaitējuma veids.",D,professional_law
673,"Kurā no šiem diviem scenārijiem galvenais varonis dara kaut ko acīmredzami morāli nepareizu, saskaņā ar parastajiem morāles standartiem ASV no 2020. gada? 1. scenārijs | Es uzrādīju kredītkarti, ko nēsāju makā, lai paliktu dārgā viesnīcā. 2. scenārijs | Es uzliku vecmāmiņai pavadu un izvedu viņu pastaigāties.","Nepareizi, nepareizi","Nepareizi, nav nepareizi","Nav nepareizi, nepareizi","Nav nepareizi, nav nepareizi",C,moral_scenarios
650,Kurš no šiem iemesliem bija nozīmīgs Franklina Rūzvelta Jaunā kursa koalīcijas panākumu iemesls pagājušā gadsimta trīsdesmitajos gados?,Liela afroamerikāņu vēlētāju pāreja no republikāņu uz demokrātu partiju,Liela pilsētu vēlētāju pāreja ziemeļu štatos no republikāņu uz demokrātu partiju,Koncentrēšanās uz divpartiju pieeju galvenajiem sociālajiem un ekonomiskajiem tiesību aktiem,Koncentrēšanās uz jauno vēlētāju mobilizēšanu,A,miscellaneous
115,"Kura no dotajām PL formulām vislabāk simbolizē nākamo teikumu?
Vai nu Anglijas liellopu gaļas imports ir pietiekams nosacījums Francijas lauksaimniecības subsidēšanai, vai arī Ķīnas cilvēktiesību veicināšana ir nepieciešams nosacījums Dienvidāfrikas piegādātajiem dimantiem.",(A ⊃ F) ∨ (D ⊃ Ķ),(F ⊃ A) ∨ (Ķ ⊃ D),(A ⊃ F) ∨ (Ķ ⊃ D),(F ⊃ A) ∨ (D ⊃ Ķ),A,formal_logic
27,"Kā nodrošināt, ka viens indivīds nenes visa minētā darba uzdevuma slogu?",Darba specializācija,Darba dizains,Darba plāns,Darba maiņas,A,management
162,Politiskās kultūras jēdziens attiecas uz,"to kā kultūras produkti, piemēram, romāni vai gleznas, atspoguļo to radītāju politiskās ideoloģijas","pamatuzskatiem un orientāciju uz politiku, kas ir plaši izplatīta starp kultūras locekļiem","politisko pārliecību un attieksmi, kas ir kopīga cilvēkiem valsts amatos",masu mediju ideoloģiskajiem aizspriedumiem,B,sociology
40,"Rezistors ķēdē izkliedē enerģiju ar ātrumu 1 W. Ja spriegums rezistorā tiek divkāršots, kāds būs jaunais enerģijas izkliedes ātrums?","0,25 W","0,5 W",1 W,4 W,D,college_physics
47,"Smadzeņu zonas, kas ir bojātas, tiek sauktas par tādām, kurās ir",smadzeņu bojājumi,puslodes,smadzeņu daivas,kortikālie saaugumi,A,high_school_psychology
9,"Šis jautājums attiecas uz šādu informāciju.
Patiesībā Cawnpore slaktiņu savdabīgais saasinājums bija tāds, ka darbu veica subjektu rase — melnādainie vīrieši, kas uzdrošinājās izliet savu saimnieku asinis, un nabaga bezpalīdzīgās dāmas un bērni. Šeit mums bija ne tikai karojošs karš, bet mums bija reliģijas karš, rases karš un atriebības karš, cerību karš, nacionālie pamudinājumi nokratīt svešinieka jūgu un atjaunot vietējo priekšnieku pilnu varu, un viņš pilnībā pārņem vietējās reliģijas. Neatkarīgi no sacelšanās un sacelšanās cēloņiem, ir pietiekami skaidrs, ka viens no veidiem, kā līderi, it kā pēc kopēja instinkta, apņēmās īstenot savu mērķi, bija katra baltā vīrieša, sievietes vai bērna iznīcināšana, kas nonāca viņu rokās.
Britu žurnālists Viljams Hovards Rasels, My Indian Mutlny Diary, 1860
Jāuzsver, ka vardarbība bija būtiska britu klātbūtnes Indijā sastāvdaļa. Dominējošā vara vienmēr ir nemierīga ar vardarbību pret to. Tāpēc tiesības uz vardarbību visur ir privilēģija, ko iestāde bauda un atsakās dalīties ar tiem, kas tai pakļauti: vara vienmēr uzstāj uz vardarbību kā savu ekskluzīvo monopolu. Britu vara Indijā kā autokrātija bija rūpīgi izveidojusi vardarbības monopolu. 1857. gada sacelšanās sagrāva šo monopolu, liekot pretī oficiālai, atnācēju vardarbībai kolonizēto iedzīvotāju, pamatiedzīvotāju vardarbību. Briti bija ieguvuši noteiktas privilēģijas Indijā, kas to noteica dzimšana un ādas krāsa. Tas bija viņu dominēšanas, pārākuma nosacījums: valdnieki un valdnieki tika sakārtoti hierarhiski kā augstākas un zemākas rases, kā civilizētas un necivilizētas. Un šis pārākums izpaudās, noliedzot indiāņiem ""cilvēcību""; izturoties pret viņiem un uztverot viņus kā dzīvniekus.
Rudrangshu Mukherjee, ""Kanpur [Cawnpore] slaktiņi Indijā 1857. gada sacelšanās laikā"", 1990
Saskaņā ar otro fragmentu, Cawnpore slaktiņš","bija attaisnojams saskaņā ar vietējām militārajām paražām, pat ja tas pārkāpa Rietumu militārās normas.","var tikt uzskatīts par reakciju uz sistēmisko brutālo spēku, ar kuru briti pārvaldīja Indiju.",jāslavē kā drosmīgs patriotisks trieciens pret britu koloniālo apspiešanu.,"šķiet, ka tas ir labi organizētas un ilgi plānotas sazvērestības rezultāts.",B,high_school_world_history
20,Pikornavīrusa replikāciju kā pozitīvu ķēdes RNS vīrusu īpaši raksturo kurš no šiem?,Virioni pārnes RNS transkriptāzes enzīmu šūnā,Viriona RNS tiek pārvērsta vienā lielā poliproteīnā,"Viriona RNS, kas darbojas kā mRNS",Vīruss iziet šūnas apoptozes rezultātā,C,virology
13,Dabiskā likuma maldība ir,"apgalvojot, ka kaut kas noteikti ir slikts, jo tas nemaksā ļoti daudz","aizstājot atsevišķus stāstus ar lielāku paraugu, atbalstot vispārinājumu","apgalvojot, ka tam, kas ir patiess dabā, ir jābūt patiesam par cilvēkiem","tas pats, kas  post hoc maldība",C,logical_fallacies
75,"No 2019. gada apmēram cik procenti itāļu saka, ka ir ļoti svarīgi, lai mūsu valstī būtu brīvi plašsaziņas līdzekļi bez valdības/valsts cenzūras?",41%,56%,46%,86%,B,global_facts
246,Mazais ogļhidrātu daudzums uzturā:,"neietekmē vingrojumu izpildi pasākumos, kas ilgst mazāk par 10 minūtēm.",ietekmē muskuļu pH līmeni miera stāvoklī.,var pasliktināt augstas intensitātes vingrinājumu izpildi.,rada lielāku paļaušanos uz muskuļu glikogēnu slodzes laikā.,C,clinical_knowledge
191,Palmitīnskābes CH3(CH2) 14CO2H molekulas β oksidācija:,iegūst 8 acetil-CoA molekulas un dažus ATP un ūdeni.,dod tikai 16 acetil-CoA molekulas.,dod tikai oglekļa dioksīdu un ūdeni.,neiesaista skābekli.,A,clinical_knowledge
819,"Mazpilsētas policists piebrauca pie autovadītāja par ātruma pārsniegšanu. Viņš uzskatīja, ka autovadītājs ir uzbudināms un nervozs, taču viņam nebija skaidra iemesla domāt, ka kaut kas nav kārtībā. Viņš tomēr pārmeklēja automašīnu un atrada divas kārbas ar svaigi konservētiem persikiem, kas piederēja autovadītāja kaimiņam, un ziņoja, ka pirms 24 stundām tie nozagti no viņas verandas. Varas iestādes apsūdzēja viņu zādzībā saskaņā ar valsts kriminālkodeksu. Viņa ierosinājums neļaut sniegt pierādījumus nelikumīgas kratīšanas dēļ tika noraidīts. Vai apelācijas gadījumā apelācijas instances tiesa, iespējams, atcels zemākas instances tiesas lēmumu, ar kuru noraidīta prasība neļaut sniegt pierādījumus?","Jā, jo kratīšana bija pretrunā konstitūcijai, jo amatpersonai nebija pamatotu aizdomu, kas attaisnotu kratīšanu automašīnā.","Jā, jo, kad automašīna tiek izvilkta par ātruma pārsniegšanu, amatpersonai vienmēr ir jāsaņem kratīšanas orderis pirms jebkādas kratīšanas veikšanas.","Nē, apstāšanās un meklēšana atbilda normālām ātruma pārsniegšanas apstāšanās prasībām.","Nē, jo autovadītāja nīgrums ir pietiekams iemesls, lai pilnībā pārmeklētu transportlīdzekli.",A,professional_law
503,Kas ir Jaunzēlandes galvaspilsēta?,Sidneja,Velingtona,Auklenda,Melburna,B,miscellaneous
